Year,carrier_lg,total_passengers,year_total,market_share
2016,WN,908012,2977255,30.4982945699982
2017,9K,0,3086637,0.0
2017,AA,707083,3086637,22.90787676037059
2017,AS,130416,3086637,4.2251809979599155
2017,B6,204213,3086637,6.6160355104924875
2017,DL,507028,3086637,16.42655096793047
2017,F9,19699,3086637,0.6382026781898875
2017,G4,19135,3086637,0.6199303643415147
2017,NK,10599,3086637,0.3433834299271343
2017,SY,2328,3086637,0.07542189120392194
2017,UA,538028,3086637,17.43088027519919
2017,VX,21514,3086637,0.6970045392444916
2017,WN,926594,3086637,30.019532585140396
2018,9K,0,3203948,0.0
2018,AA,708173,3203948,22.10313650533654
2018,AS,141453,3203948,4.414959293971063
2018,B6,200194,3203948,6.2483535937537065
2018,DL,536168,3203948,16.73460368270646
2018,F9,23054,3203948,0.7195497554891652
2018,G4,23739,3203948,0.740929628071367
2018,NK,9045,3203948,0.28230795256352476
2018,SY,1688,3203948,0.052684999881396334
2018,UA,628546,3203948,19.617858966500084
2018,VX,678,3203948,0.02116139213245658
2018,WN,931210,3203948,29.06445422959424
2019,9K,0,3262326,0.0
2019,AA,742083,3262326,22.747052256580123
2019,AS,174789,3262326,5.357802990872157
2019,B6,215587,3262326,6.60838309843958
2019,DL,550662,3262326,16.879428971844014
2019,F9,22236,3262326,0.6815995703678909
2019,G4,25709,3262326,0.7880573553961191
2019,NK,17565,3262326,0.5384195203054508
2019,SY,1979,3262326,0.06066223915083901
2019,UA,613735,3262326,18.81280411583637
2019,WN,897981,3262326,27.52578988120746
2020,AA,283196,1131511,25.02812610747929
2020,AS,65463,1131511,5.78544972165538
2020,B6,71430,1131511,6.312797666129627
2020,DL,181502,1131511,16.040674814473743
2020,F9,7074,1131511,0.6251817260282931
2020,G4,13745,1131511,1.2147473599461251
2020,NK,7251,1131511,0.6408245257889671
2020,SY,1659,1131511,0.1466181062314021
2020,UA,181804,1131511,16.067364789206646
2020,WN,318387,1131511,28.138215183060527
2021,3M,136,2133402,0.006374794811292012
2021,AA,482387,2133402,22.61116282819647
2021,AS,110821,2133402,5.194567174869059
2021,B6,144507,2133402,6.7735476014365785
2021,DL,417575,2133402,19.57319811268575
2021,F9,9888,2133402,0.46348508157393686
2021,G4,23845,2133402,1.1176983990827793
2021,MX,884,2133402,0.04143616627339807
2021,NK,13673,2133402,0.6409012459911447
2021,SY,334,2133402,0.01565574608067303
2021,UA,397809,2133402,18.64669668445047
2021,WN,531368,2133402,24.90707330357804
2021,XP,175,2133402,0.008202860970412515
2022,3M,303,2979367,0.010169945495133698
2022,AA,623471,2979367,20.926290718800335
2022,AS,169551,2979367,5.6908396984997145
2022,B6,230603,2979367,7.739999805327775
2022,DL,479360,2979367,16.089323671773233
2022,F9,39377,2979367,1.32165658007221
