airport_1,airport_2,total_passengers,avg_fare,avg_distance,avg_fare_per_mile,avg_fare_gap
DAL,MTJ,17,158.33,733.0,0.21600272851296046,0.0
DAL,MYR,55,178.07,1048.0,0.1699141221374046,0.0
DAL,OAK,14564,228.704128440367,1475.926605504587,0.15495167554167855,25.427522935779816
DAL,OKC,20792,114.7755,181.0,0.6341187845303867,0.0
DAL,OMA,5865,195.4504761904762,585.2095238095238,0.33399537186363126,10.567238095238094
DAL,ONT,6847,220.44816513761467,1246.0,0.17692469112168113,21.020091743119266
DAL,ORF,1927,232.98858585858585,1212.4848484848485,0.1921608393320783,20.23939393939394
DAL,PBI,692,229.63397849462365,1102.494623655914,0.2082954317763748,18.93505376344086
DAL,PDX,7805,227.2125471698113,1626.0,0.13973711388057278,18.93188679245283
DAL,PHF,64,235.79833333333332,1212.2916666666667,0.19452045097595086,0.0
DAL,PHL,6486,212.37135922330097,1302.495145631068,0.1630520644950005,21.401553398058255
DAL,PHX,44822,183.53223214285714,879.0,0.20879662359824477,5.60107142857143
DAL,PIT,5712,208.30254901960785,1067.5,0.19513064832130353,14.051960784313724
DAL,PNS,1904,188.13379310344828,604.0,0.3114797899063713,0.17551724137931046
DAL,PSP,184,248.72375,1137.0,0.21875439753737908,0.0
DAL,PWM,21,102.695,1622.0,0.0633138101109741,0.0
DAL,RDU,8371,217.05245098039214,1061.5,0.2044726418712237,24.693921568627452
DAL,RIC,1323,232.86315789473684,1158.0,0.20109080992637032,8.443999999999999
DAL,RNO,2768,240.79407407407405,1356.0,0.17757675079209,23.239907407407404
DAL,RSW,1764,220.0369512195122,1017.0,0.21635885075664918,10.757439024390242
DAL,SAN,25673,203.55848214285714,1182.0,0.1722152979211989,22.500267857142855
DAL,SAT,123800,124.73576271186441,247.8135593220339,0.5035033012331687,0.777542372881356
DAL,SAV,1116,193.36,925.0,0.20903783783783783,9.238421052631578
